class_id,year,section,sem,department
CSE1A,1,A,even,CSE
CSE1B,1,B,even,CSE
CSE1C,1,C,even,CSE
CSE1D,1,D,even,CSE
CSE1E,1,E,even,CSE
CSE1F,1,F,even,CSE
CSE1G,1,G,even,CSE
CSE1H,1,H,even,CSE
CSE2A,2,A,even,CSE
CSE2B,2,B,even,CSE
CSE2C,2,C,even,CSE
CSE2D,2,D,even,CSE
CSE2E,2,E,even,CSE
CSE2F,2,F,even,CSE
CSE2G,2,G,even,CSE
CSE2H,2,H,even,CSE
CSE3A,3,A,even,CSE
CSE3B,3,B,even,CSE
CSE3C,3,C,even,CSE
CSE3D,3,D,even,CSE
CSE3E,3,E,even,CSE
CSE3F,3,F,even,CSE
CSE3G,3,G,even,CSE
CSE3H,3,H,even,CSE
CSE4A,4,A,even,CSE
CSE4B,4,B,even,CSE
CSE4C,4,C,even,CSE
CSE4D,4,D,even,CSE
CSE4E,4,E,even,CSE
CSE4F,4,F,even,CSE
CSE4G,4,G,even,CSE
CSE4H,4,H,even,CSE
