teacher_id,course_id,course_name
T049,23MAT116,Discrete Mathematics
T060,23MAT116,Discrete Mathematics
T075,23MAT116,Discrete Mathematics
T063,23MAT116,Discrete Mathematics
T062,23MAT116,Discrete Mathematics
T070,23MAT116,Discrete Mathematics
T077,23MAT117,Linear Algebra
T074,23MAT117,Linear Algebra
T052,23MAT117,Linear Algebra
T082,23MAT117,Linear Algebra
T065,23MAT117,Linear Algebra
T081,23MAT117,Linear Algebra
T065,23CSE111,Object Oriented Programming
T086,23CSE111,Object Oriented Programming
T058,23CSE111,Object Oriented Programming
T053,23CSE111,Object Oriented Programming
T054,23CSE111,Object Oriented Programming
T076,23CSE111,Object Oriented Programming
T064,23PHY115,Modern Physics
T086,23PHY115,Modern Physics
T078,23PHY115,Modern Physics
T073,23PHY115,Modern Physics
T047,23PHY115,Modern Physics
T074,23PHY115,Modern Physics
T079,23CSE113,User Interface Design
T082,23CSE113,User Interface Design
T081,23CSE113,User Interface Design
T044,23CSE113,User Interface Design
T064,23CSE113,User Interface Design
T049,23CSE113,User Interface Design
T048,23MEE115,Manufacturing Practice
T055,23MEE115,Manufacturing Practice
T060,23MEE115,Manufacturing Practice
T085,23MEE115,Manufacturing Practice
T059,23MEE115,Manufacturing Practice
T050,23MEE115,Manufacturing Practice
T072,22ADM111,Glimpses of Glorious India
T061,22ADM111,Glimpses of Glorious India
T044,22ADM111,Glimpses of Glorious India
T078,22ADM111,Glimpses of Glorious India
T080,22ADM111,Glimpses of Glorious India
T063,22ADM111,Glimpses of Glorious India
T044,23MAT216,Probability and Random Processes
T066,23MAT216,Probability and Random Processes
T082,23MAT216,Probability and Random Processes
T072,23MAT216,Probability and Random Processes
T054,23MAT216,Probability and Random Processes
T083,23MAT216,Probability and Random Processes
T056,23CSE211,Design and Analysis of Algorithms
T057,23CSE211,Design and Analysis of Algorithms
T048,23CSE211,Design and Analysis of Algorithms
T065,23CSE211,Design and Analysis of Algorithms
T078,23CSE211,Design and Analysis of Algorithms
T047,23CSE211,Design and Analysis of Algorithms
T050,23CSE212,Principles of Functional Languages
T044,23CSE212,Principles of Functional Languages
T083,23CSE212,Principles of Functional Languages
T051,23CSE212,Principles of Functional Languages
T047,23CSE212,Principles of Functional Languages
T065,23CSE212,Principles of Functional Languages
T052,23CSE213,Computer Organization and Architecture
T049,23CSE213,Computer Organization and Architecture
T071,23CSE213,Computer Organization and Architecture
T045,23CSE213,Computer Organization and Architecture
T058,23CSE213,Computer Organization and Architecture
T047,23CSE213,Computer Organization and Architecture
T085,23CSE214,Operating Systems
