slot_id,day,slot_number,start_time,end_time
m1,MON,1,08:50,09:40
m2,MON,2,09:40,10:30
m3,MON,3,10:45,11:35
m4,MON,4,11:35,12:25
m5,MON,5,12:25,13:15
m6,MON,6,14:05,14:55
m7,MON,7,14:55,15:45
m8,MON,8,15:45,16:35
t1,TUE,1,08:50,09:40
t2,TUE,2,09:40,10:30
t3,TUE,3,10:45,11:35
t4,TUE,4,11:35,12:25
t5,TUE,5,12:25,13:15
t6,TUE,6,14:05,14:55
t7,TUE,7,14:55,15:45
t8,TUE,8,15:45,16:35
w1,WED,1,08:50,09:40
w2,WED,2,09:40,10:30
w3,WED,3,10:45,11:35
w4,WED,4,11:35,12:25
w5,WED,5,12:25,13:15
w6,WED,6,14:05,14:55
w7,WED,7,14:55,15:45
w8,WED,8,15:45,16:35
th1,THU,1,08:50,09:40
th2,THU,2,09:40,10:30
th3,THU,3,10:45,11:35
th4,THU,4,11:35,12:25
th5,THU,5,12:25,13:15
th6,THU,6,14:05,14:55
th7,THU,7,14:55,15:45
th8,THU,8,15:45,16:35
f1,FRI,1,08:50,09:40
f2,FRI,2,09:40,10:30
f3,FRI,3,10:45,11:35
f4,FRI,4,11:35,12:25
f5,FRI,5,12:25,13:15
f6,FRI,6,14:05,14:55
f7,FRI,7,14:55,15:45
f8,FRI,8,15:45,16:35
